HS_used	TL_used	Share_TL_used	HS_selected	TL_selected
HS07	382477	0.5	HS02	382490
HS07	382478	1	HS02	382490
HS07	382479	0.5	HS02	382490
HS07	382481	1	HS02	382490
HS07	382482	1	HS02	382490
HS07	382483	1	HS02	382490
HS07	382490	0.25	HS02	382490
HS07	390770	1	HS02	390799
HS07	390799	1	HS02	390799
HS07	300610	0.0294117647058824	HS02	392010
HS07	392010	1	HS02	392010
HS07	300610	0.0294117647058824	HS02	392020
HS07	392020	1	HS02	392020
HS07	300610	0.0294117647058824	HS02	392030
HS07	392030	1	HS02	392030
HS07	300610	0.0294117647058824	HS02	392043
HS07	392043	1	HS02	392043
HS07	300610	0.0294117647058824	HS02	392049
HS07	392049	1	HS02	392049
HS07	300610	0.0294117647058824	HS02	392051
HS07	392051	1	HS02	392051
HS07	300610	0.0294117647058824	HS02	392059
HS07	392059	1	HS02	392059
HS07	300610	0.0294117647058824	HS02	392061
HS07	392061	1	HS02	392061
HS07	300610	0.0294117647058824	HS02	392062
HS07	392062	1	HS02	392062
HS07	300610	0.0294117647058824	HS02	392063
HS07	392063	1	HS02	392063
HS07	300610	0.0294117647058824	HS02	392069
HS07	392069	1	HS02	392069
HS07	300610	0.0294117647058824	HS02	392071
HS07	392071	1	HS02	392071
HS07	300610	0.0294117647058824	HS02	392072
HS07	392079	0.5	HS02	392072
HS07	300610	0.0294117647058824	HS02	392073
HS07	392073	1	HS02	392073
HS07	300610	0.0294117647058824	HS02	392079
HS07	392079	0.5	HS02	392079
HS07	300610	0.0294117647058824	HS02	392091
HS07	392091	1	HS02	392091
HS07	300610	0.0294117647058824	HS02	392092
HS07	392092	1	HS02	392092
HS07	300610	0.0294117647058824	HS02	392093
HS07	392093	1	HS02	392093
HS07	300610	0.0294117647058824	HS02	392094
HS07	392094	1	HS02	392094
HS07	300610	0.0294117647058824	HS02	392099
HS07	392099	1	HS02	392099
HS07	300610	0.0294117647058824	HS02	392111
HS07	392111	1	HS02	392111
HS07	300610	0.0294117647058824	HS02	392112
HS07	392112	1	HS02	392112
HS07	300610	0.0294117647058824	HS02	392113
HS07	392113	1	HS02	392113
HS07	300610	0.0294117647058824	HS02	392114
HS07	392114	1	HS02	392114
HS07	300610	0.0294117647058824	HS02	392119
HS07	392119	1	HS02	392119
HS07	300691	1	HS02	392690
HS07	392690	1	HS02	392690
HS07	853670	0.25	HS02	392690
HS07	401019	0.5	HS02	401013
HS07	401019	0.5	HS02	401019
HS07	410390	0.25	HS02	410310
HS07	410390	0.25	HS02	410390
HS07	420500	0.5	HS02	420400
HS07	420500	0.5	HS02	420500
HS07	420600	0.5	HS02	420610
HS07	420600	0.5	HS02	420690
HS07	430180	0.5	HS02	430170
HS07	410390	0.25	HS02	430180
HS07	430180	0.5	HS02	430180
HS07	410390	0.25	HS02	430190
HS07	430190	1	HS02	430190
HS07	430219	0.5	HS02	430213
HS07	430219	0.5	HS02	430219
HS07	440210	1	HS02	440200
HS07	440290	1	HS02	440200
HS07	440721	1	HS02	440724
HS07	440722	1	HS02	440724
HS07	440727	1	HS02	440729
HS07	440728	1	HS02	440729
HS07	440729	1	HS02	440729
HS07	440793	1	HS02	440799
HS07	440794	1	HS02	440799
HS07	440795	1	HS02	440799
HS07	440799	1	HS02	440799
HS07	440921	1	HS02	440920
HS07	440929	1	HS02	440920
HS07	441012	0.5	HS02	441021
HS07	441019	0.166666666666667	HS02	441021
HS07	441012	0.5	HS02	441029
HS07	441019	0.166666666666667	HS02	441029
HS07	441011	0.25	HS02	441031
HS07	441019	0.166666666666667	HS02	441031
HS07	441011	0.25	HS02	441032
HS07	441019	0.166666666666667	HS02	441032
HS07	441011	0.25	HS02	441033
HS07	441019	0.166666666666667	HS02	441033
HS07	441011	0.25	HS02	441039
HS07	441019	0.166666666666667	HS02	441039
HS07	441112	0.166666666666667	HS02	441111
HS07	441113	0.166666666666667	HS02	441111
HS07	441114	0.166666666666667	HS02	441111
HS07	441192	0.5	HS02	441111
HS07	441112	0.166666666666667	HS02	441119
HS07	441113	0.166666666666667	HS02	441119
HS07	441114	0.166666666666667	HS02	441119
HS07	441192	0.5	HS02	441119
HS07	441112	0.166666666666667	HS02	441121
HS07	441113	0.166666666666667	HS02	441121
HS07	441114	0.166666666666667	HS02	441121
HS07	441193	0.5	HS02	441121
HS07	441112	0.166666666666667	HS02	441129
HS07	441113	0.166666666666667	HS02	441129
HS07	441114	0.166666666666667	HS02	441129
HS07	441193	0.5	HS02	441129
HS07	441112	0.166666666666667	HS02	441131
HS07	441113	0.166666666666667	HS02	441131
HS07	441114	0.166666666666667	HS02	441131
HS07	441194	0.25	HS02	441131
HS07	441112	0.166666666666667	HS02	441139
HS07	441113	0.166666666666667	HS02	441139
HS07	441114	0.166666666666667	HS02	441139
HS07	441194	0.25	HS02	441139
HS07	441194	0.25	HS02	441191
HS07	441194	0.25	HS02	441199
HS07	441210	0.111111111111111	HS02	441213
HS07	441231	1	HS02	441213
HS07	441210	0.111111111111111	HS02	441214
HS07	441232	1	HS02	441214
HS07	441210	0.111111111111111	HS02	441219
HS07	441239	1	HS02	441219
HS07	441210	0.111111111111111	HS02	441222
HS07	441294	0.25	HS02	441222
HS07	441299	0.166666666666667	HS02	441222
HS07	441210	0.111111111111111	HS02	441223
HS07	441299	0.166666666666667	HS02	441223
HS07	441210	0.111111111111111	HS02	441229
HS07	441294	0.25	HS02	441229
HS07	441299	0.166666666666667	HS02	441229
HS07	441210	0.111111111111111	HS02	441292
HS07	441294	0.25	HS02	441292
HS07	441299	0.166666666666667	HS02	441292
HS07	441210	0.111111111111111	HS02	441293
HS07	441299	0.166666666666667	HS02	441293
HS07	441210	0.111111111111111	HS02	441299
HS07	441294	0.25	HS02	441299
HS07	441299	0.166666666666667	HS02	441299
HS07	441871	1	HS02	441830
HS07	441872	0.5	HS02	441830
HS07	441879	0.5	HS02	441830
HS07	441860	1	HS02	441890
HS07	441872	0.5	HS02	441890
HS07	441879	0.5	HS02	441890
HS07	441890	1	HS02	441890
HS07	460121	1	HS02	460120
HS07	460122	1	HS02	460120
HS07	460129	1	HS02	460120
HS07	460192	1	HS02	460191
HS07	460193	1	HS02	460191
HS07	460194	1	HS02	460191
HS07	460211	1	HS02	460210
HS07	460212	1	HS02	460210
HS07	460219	1	HS02	460210
HS07	470630	0.333333333333333	HS02	470691
HS07	470691	1	HS02	470691
HS07	470630	0.333333333333333	HS02	470692
HS07	470692	1	HS02	470692
HS07	470630	0.333333333333333	HS02	470693
HS07	470693	1	HS02	470693
HS07	480254	0.5	HS02	480230
HS07	480261	0.5	HS02	480230
HS07	480262	0.5	HS02	480230
HS07	480269	0.5	HS02	480230
HS07	480254	0.5	HS02	480254
HS07	480261	0.5	HS02	480261
HS07	480262	0.5	HS02	480262
HS07	480269	0.5	HS02	480269
HS07	480990	0.5	HS02	480910
HS07	480990	0.5	HS02	480990
HS07	481110	0.5	HS02	481110
HS07	481151	0.5	HS02	481151
HS07	481159	0.5	HS02	481159
HS07	481190	0.5	HS02	481190
HS07	481490	0.5	HS02	481430
HS07	481490	0.5	HS02	481490
HS07	481110	0.5	HS02	481500
HS07	481151	0.5	HS02	481500
HS07	481159	0.5	HS02	481500
HS07	481190	0.5	HS02	481500
HS07	482390	0.5	HS02	481500
HS07	481690	0.333333333333333	HS02	481610
HS07	481690	0.333333333333333	HS02	481630
HS07	481690	0.333333333333333	HS02	481690
HS07	482361	1	HS02	482360
HS07	482369	1	HS02	482360
HS07	482390	0.5	HS02	482390
HS07	500300	0.5	HS02	500310
HS07	500300	0.5	HS02	500390
HS07	520859	0.5	HS02	520853
HS07	520859	0.5	HS02	520859
HS07	521019	0.5	HS02	521012
HS07	521019	0.5	HS02	521019
HS07	521029	0.5	HS02	521022
HS07	521029	0.5	HS02	521029
HS07	521049	0.5	HS02	521042
HS07	521049	0.5	HS02	521049
HS07	521059	0.5	HS02	521052
HS07	521059	0.5	HS02	521059
HS07	521120	0.333333333333333	HS02	521121
HS07	521120	0.333333333333333	HS02	521122
HS07	521120	0.333333333333333	HS02	521129
HS07	530500	0.142857142857143	HS02	530410
HS07	530500	0.142857142857143	HS02	530490
HS07	530500	0.142857142857143	HS02	530511
HS07	530500	0.142857142857143	HS02	530519
HS07	530500	0.142857142857143	HS02	530521
HS07	530500	0.142857142857143	HS02	530529
HS07	530500	0.142857142857143	HS02	530590
HS07	540211	1	HS02	540210
HS07	540219	1	HS02	540210
HS07	540234	1	HS02	540239
HS07	540239	1	HS02	540239
HS07	540244	0.25	HS02	540241
HS07	540245	1	HS02	540241
HS07	540244	0.25	HS02	540242
HS07	540246	1	HS02	540242
HS07	540244	0.25	HS02	540243
HS07	540247	1	HS02	540243
HS07	540244	0.25	HS02	540249
HS07	540248	1	HS02	540249
HS07	540249	1	HS02	540249
HS07	540331	0.5	HS02	540320
HS07	540332	0.5	HS02	540320
HS07	540333	0.5	HS02	540320
HS07	540339	0.5	HS02	540320
HS07	540341	0.5	HS02	540320
HS07	540342	0.5	HS02	540320
HS07	540349	0.5	HS02	540320
HS07	540331	0.5	HS02	540331
HS07	540332	0.5	HS02	540332
HS07	540333	0.5	HS02	540333
HS07	540339	0.5	HS02	540339
HS07	540341	0.5	HS02	540341
HS07	540342	0.5	HS02	540342
HS07	540349	0.5	HS02	540349
HS07	540411	1	HS02	540410
HS07	540412	1	HS02	540410
HS07	540419	1	HS02	540410
HS07	540600	0.5	HS02	540610
HS07	540600	0.5	HS02	540620
HS07	550140	1	HS02	550190
HS07	550190	1	HS02	550190
HS07	550311	1	HS02	550310
HS07	550319	1	HS02	550310
HS07	551323	0.5	HS02	551322
HS07	551323	0.5	HS02	551323
HS07	551339	0.333333333333333	HS02	551332
HS07	551339	0.333333333333333	HS02	551333
HS07	551339	0.333333333333333	HS02	551339
HS07	551349	0.333333333333333	HS02	551342
HS07	551349	0.333333333333333	HS02	551343
HS07	551349	0.333333333333333	HS02	551349
HS07	551419	0.5	HS02	551413
HS07	551419	0.5	HS02	551419
HS07	551430	0.25	HS02	551431
HS07	551430	0.25	HS02	551432
HS07	551430	0.25	HS02	551433
HS07	551430	0.25	HS02	551439
HS07	551599	0.5	HS02	551592
HS07	551599	0.5	HS02	551599
HS07	560490	0.5	HS02	560420
HS07	560490	0.5	HS02	560490
HS07	560790	0.5	HS02	560710
HS07	560790	0.5	HS02	560790
HS07	570250	0.333333333333333	HS02	570251
HS07	570250	0.333333333333333	HS02	570252
HS07	570250	0.333333333333333	HS02	570259
HS07	580300	0.5	HS02	580310
HS07	580300	0.5	HS02	580390
HS07	300610	0.0294117647058824	HS02	600240
HS07	600240	1	HS02	600240
HS07	300610	0.0294117647058824	HS02	600290
HS07	600290	1	HS02	600290
HS07	300610	0.0294117647058824	HS02	600310
HS07	600310	1	HS02	600310
HS07	300610	0.0294117647058824	HS02	600320
HS07	600320	1	HS02	600320
HS07	300610	0.0294117647058824	HS02	600330
HS07	600330	1	HS02	600330
HS07	300610	0.0294117647058824	HS02	600340
HS07	600340	1	HS02	600340
HS07	300610	0.0294117647058824	HS02	600390
HS07	600390	1	HS02	600390
HS07	600590	0.5	HS02	600510
HS07	300610	0.0294117647058824	HS02	600590
HS07	600590	0.5	HS02	600590
HS07	610190	0.5	HS02	610110
HS07	610190	0.5	HS02	610190
HS07	610310	0.333333333333333	HS02	610311
HS07	610310	0.333333333333333	HS02	610312
HS07	610310	0.333333333333333	HS02	610319
HS07	610329	0.5	HS02	610321
HS07	610329	0.5	HS02	610329
HS07	610419	0.333333333333333	HS02	610411
HS07	610419	0.333333333333333	HS02	610412
HS07	610419	0.333333333333333	HS02	610419
HS07	610429	0.5	HS02	610421
HS07	610429	0.5	HS02	610429
HS07	610799	0.5	HS02	610792
HS07	610799	0.5	HS02	610799
HS07	611190	0.5	HS02	611110
HS07	611190	0.5	HS02	611190
HS07	611490	0.5	HS02	611410
HS07	611490	0.5	HS02	611490
HS07	611510	0.125	HS02	611511
HS07	611521	1	HS02	611511
HS07	611510	0.125	HS02	611512
HS07	611522	1	HS02	611512
HS07	611510	0.125	HS02	611519
HS07	611529	1	HS02	611519
HS07	611510	0.125	HS02	611520
HS07	611530	1	HS02	611520
HS07	611510	0.125	HS02	611591
HS07	611594	1	HS02	611591
HS07	611510	0.125	HS02	611592
HS07	611595	1	HS02	611592
HS07	611510	0.125	HS02	611593
HS07	611596	1	HS02	611593
HS07	611510	0.125	HS02	611599
HS07	611599	1	HS02	611599
HS07	611780	0.5	HS02	611720
HS07	611780	0.5	HS02	611780
HS07	620329	0.5	HS02	620321
HS07	620329	0.5	HS02	620329
HS07	620590	0.5	HS02	620510
HS07	620590	0.5	HS02	620590
HS07	620799	0.5	HS02	620792
HS07	620799	0.5	HS02	620799
HS07	620990	0.5	HS02	620910
HS07	620990	0.5	HS02	620990
HS07	621139	0.5	HS02	621131
HS07	621139	0.5	HS02	621139
HS07	621390	0.5	HS02	621310
HS07	621390	0.5	HS02	621390
HS07	630259	0.5	HS02	630252
